Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa
CUNORTE,Buddleja parviflora,C15-6-861,1.45,13.6,4.6,3.3,3.9,0.38
CUNORTE,Buddleja parviflora,C15-6-862,0.37,6.9,4.5,2.8,3.2,0.52
CUNORTE,Buddleja parviflora,C15-6-863,1.08,11.7,3.5,2.3,3.9,0.61
CUNORTE,Acacia schaffneri,C15-6-864,0.87,10.5,3.7,1.8,4.1,0.22
CUNORTE,Prosopis laevigata,C15-6-865,1.54,14,4.7,4,5.3,0.59
CUNORTE,Buddleja parviflora,C15-6-866,0.95,11,5.6,3.4,4,0.51
CUNORTE,Buddleja parviflora,C15-6-867,0.76,9.8,5.4,3.2,3.5,0.73
CUNORTE,Acacia schaffneri,C15-6-868,0.58,8.6,5.4,3.5,2.9,0.58
CUNORTE,Buddleja parviflora,C15-6-869,0.96,11,6.2,4.4,3.1,0.53
CUNORTE,Acacia schaffneri,C15-6-870,3.03,19.7,5.9,3.9,5.3,0.37
CUNORTE,Acacia schaffneri,C15-6-871,4.48,23.9,4.8,3.4,6.6,0.3
CUNORTE,Acacia schaffneri,C15-6-872,0.99,11.2,4.8,3.2,4.4,0.8
CUNORTE,Prosopis laevigata,C15-6-873,2.27,17,3.2,2.6,5.6,0.61
CUNORTE,Acacia schaffneri,C15-6-874,1.68,14.6,4.3,2,4.3,0.59
CUNORTE,Acacia schaffneri,C15-6-875,0.58,8.6,3.8,1.8,4.2,0.46
CUNORTE,Prosopis laevigata,C15-6-876,0.63,9,3.7,2.3,4.7,0.47
CUNORTE,Prosopis laevigata,C15-6-877,0.79,10,3.6,2,4,0.85
CUNORTE,Prosopis laevigata,C15-6-878,0.92,10.8,3.2,1.7,3.1,0.35
CUNORTE,Prosopis laevigata,C15-6-879,5.81,27.2,4.9,3.1,7.3,0.57
CUNORTE,Acacia schaffneri,C15-6-880,1.67,14.6,4.5,3.1,6.4,0.38
CUNORTE,Prosopis laevigata,C15-6-881,1.4,13.4,5.9,4.7,4.7,0.44
CUNORTE,Prosopis laevigata,C15-6-882,1.54,14,4,3.1,4.9,0.66
CUNORTE,Prosopis laevigata,C15-6-883,3.93,22.4,4.1,3.3,6.4,0.79
CUNORTE,Prosopis laevigata,C15-6-884,7.07,30,4.7,3.1,7,0.68
CUNORTE,Prosopis laevigata,C15-6-885,3.48,21,4.9,4.1,6.4,0.54
CUNORTE,Prosopis laevigata,C15-6-886,0.72,9.6,4.1,1.4,4.2,0.59
CUNORTE,Prosopis laevigata,C15-6-887,1.32,13,5.6,3.7,4,0.43
CUNORTE,Prosopis laevigata,C15-6-888,0.74,9.7,2.8,1.7,3.5,0.5
CUNORTE,Prosopis laevigata,C15-6-889,0.91,10.8,5.3,2.2,4.3,0.69
CUNORTE,Prosopis laevigata,C15-6-890,1.54,14,4.5,2.6,4.6,0.4
CUNORTE,Prosopis laevigata,C15-6-891,1.29,12.8,2.7,2.2,3.5,0
CUNORTE,Acacia schaffneri,C15-6-892,0.77,9.9,4.1,2.1,4.7,0.57
CUNORTE,Prosopis laevigata,C15-6-893,0.38,7,4.5,2.8,3.9,0.48
CUNORTE,Prosopis laevigata,C15-6-894,0.3,6.2,5.7,4.4,3.1,0.35
CUNORTE,Prosopis laevigata,C15-6-895,2.89,19.2,5.8,4.2,5.4,0.73
CUNORTE,Acacia schaffneri,C15-6-896,0.69,9.4,4.9,3.8,4.1,0.79
CUNORTE,Acacia schaffneri,C15-6-897,1.61,14.3,4.5,3.2,5.5,0.37
CUNORTE,Acacia schaffneri,C15-6-898,0.2,5,3.8,1.9,2.3,0.48
CUNORTE,Acacia schaffneri,C15-6-899,1.25,12.6,4.8,2.9,5.3,0.19
