Centro,Nombre científico (especie),Código del arbol,Area basal de arbol (dm²),Diametro de tronco equivalente (cm),Altura de arbol normalizada (m),Altura de copa normalizada (m),Diametro de copa promedio (m),Excentricidad de copa
CUVALLES,Ficus benjamina,C14-5-224,4.3,23.4,4.9,3.5,4.2,0.37
CUVALLES,Ficus benjamina,C14-5-225,2.94,19.4,3.7,2.3,4,0.47
CUVALLES,Ficus benjamina,C14-5-226,5.39,26.2,5.2,3.8,4.8,0.56
CUVALLES,Ficus benjamina,C14-5-227,1.74,14.9,3.7,2.4,3.1,0.64
CUVALLES,Ficus benjamina,C14-5-228,4.32,23.4,4.5,3.1,4.7,0.47
CUVALLES,Ficus benjamina,C14-5-229,10.94,37.3,6,4.6,7.1,0.36
CUVALLES,Ficus benjamina,C14-5-230,11.96,39,7.8,6.5,6.6,0.59
CUVALLES,Salix bonplandiana,C14-5-231,1.43,13.5,4.3,3.5,5.6,0.47
CUVALLES,Araucaria heterophylla,C14-5-232,0.69,9.4,2,1.3,2.1,0.5
CUVALLES,Salix humboldtiana,C14-5-233,1.18,12.2,2.1,2,6.2,0.77
CUVALLES,Ficus benjamina,C14-5-234,8.56,33,7.1,5.9,6.7,0.34
CUVALLES,Ficus benjamina,C14-5-235,23.48,54.7,8.6,7.1,10.5,0.24
CUVALLES,Jacaranda mimosifolia,C14-5-236,3.77,21.9,4.4,2.8,6.8,0.33
CUVALLES,Jacaranda mimosifolia,C14-5-237,1.06,11.6,2.7,1.6,3.4,0
CUVALLES,Jacaranda mimosifolia,C14-5-238,7.16,30.2,5.3,4,7.4,0.39
CUVALLES,Jacaranda mimosifolia,C14-5-239,3.31,20.5,4.9,3.3,7.5,0.51
CUVALLES,Jacaranda mimosifolia,C14-5-240,5.95,27.5,5.2,4,8.7,0.51
CUVALLES,Salix humboldtiana,C14-5-241,1.63,14.4,4,2.6,5.2,0.49
CUVALLES,Salix humboldtiana,C14-5-242,0.53,8.2,2.9,1.7,3.9,0.48
CUVALLES,Salix humboldtiana,C14-5-243,0.27,5.9,2.7,1.9,4.5,0.36
CUVALLES,Salix humboldtiana,C14-5-244,1.75,14.9,3.4,1.9,4.1,0.62
CUVALLES,Prosopis laevigata,C14-5-245,2.76,18.7,5.3,3.5,8.2,0.16
CUVALLES,Callistemon viminalis,C14-5-246,5.07,25.4,7.1,5.5,6.2,0.73
CUVALLES,Callistemon viminalis,C14-5-247,4.6,24.2,4.3,2.8,6.3,0.71
CUVALLES,Callistemon viminalis,C14-5-248,2.66,18.4,3.6,1.7,5.1,0.7
CUVALLES,Callistemon viminalis,C14-5-249,2.63,18.3,3.4,1.8,5.2,0.73
CUVALLES,Salix humboldtiana,C14-5-250,0.26,5.7,3,1.6,3.6,0.79
CUVALLES,Salix bonplandiana,C14-5-251,3.14,20,5.1,3.4,6.1,0.35
CUVALLES,Salix bonplandiana,C14-5-252,0.52,8.1,3.3,1.4,3,0.82
CUVALLES,Salix bonplandiana,C14-5-253,0.79,10,3.3,1.8,3.5,0.33
CUVALLES,Salix bonplandiana,C14-5-254,0.82,10.2,4.5,2.7,2.8,0.66
CUVALLES,Salix bonplandiana,C14-5-255,2.95,19.4,6.8,5.2,5.2,0.57
CUVALLES,Salix humboldtiana,C14-5-256,0.44,7.5,5.8,4.5,3.9,0.61
CUVALLES,Salix humboldtiana,C14-5-257,1.54,14,6.3,5.2,6,0.31
CUVALLES,Salix humboldtiana,C14-5-258,0.72,9.6,6.3,5,4.5,0.21
CUVALLES,Salix humboldtiana,C14-5-259,0.5,8,6,4.4,4.1,0.42
CUVALLES,Salix humboldtiana,C14-5-260,0.82,10.2,6.2,4.6,4.9,0.43
CUVALLES,Salix humboldtiana,C14-5-261,1.12,11.9,6.2,4.5,5.1,0.67
CUVALLES,Eucalyptus camaldulensis,C14-5-262,0.26,5.8,3.1,1.5,2.4,0.47
CUVALLES,Salix humboldtiana,C14-5-263,0.73,9.6,3.7,2.3,4.6,0.44
CUVALLES,Salix humboldtiana,C14-5-264,0.69,9.4,4.4,3.3,5.3,0.45
CUVALLES,Fraxinus uhdei ,C14-5-265,0.36,6.8,6.7,4.1,2.5,0.62
CUVALLES,Fraxinus uhdei ,C14-5-266,0.33,6.5,5.7,4.4,1.7,0.76
CUVALLES,Callistemon viminalis,C14-5-267,1.97,15.8,3.8,2.2,4.7,0.21
CUVALLES,Callistemon viminalis,C14-5-268,1.6,14.3,6.3,4.8,3.8,0.38
CUVALLES,Callistemon viminalis,C14-5-269,0.71,9.5,2.6,2.1,2.4,0.29
CUVALLES,Callistemon viminalis,C14-5-270,2.14,16.5,5.3,4,5,0.34
CUVALLES,Salix bonplandiana,C14-5-271,22.44,53.5,11,9.4,12.8,0.51
CUVALLES,Callistemon viminalis,C14-5-272,2.26,17,3.9,2.6,5.8,0.4
CUVALLES,Ficus benjamina,C14-5-273,17.59,47.3,6.2,4.7,9.2,0.35
CUVALLES,Ficus benjamina,C14-5-274,14.37,42.8,7.8,6.4,7.7,0.16
CUVALLES,Ficus benjamina,C14-5-275,6,27.6,5,3.2,4.7,0.63
CUVALLES,Ficus benjamina,C14-5-276,3.06,19.7,4.8,3.4,4.5,0.36
CUVALLES,Ficus benjamina,C14-5-277,4.96,25.1,5,3.4,4.5,0.36
CUVALLES,Ficus benjamina,C14-5-278,2.95,19.4,4,2.6,3.7,0.49
CUVALLES,Ficus benjamina,C14-5-279,5.41,26.2,4.3,2.7,4.6,0
CUVALLES,Ficus benjamina,C14-5-280,2.69,18.5,5.4,3.6,4,0.57
CUVALLES,Ficus benjamina,C14-5-281,6.15,28,6.2,4.5,5,0.38
CUVALLES,Salix humboldtiana,C14-5-282,4.41,23.7,11.2,10,9.9,0.45
CUVALLES,Koelreuteria elegans,C14-5-283,1.64,14.5,3.7,2.3,3.5,0.4
CUVALLES,Salix bonplandiana,C14-5-284,0.64,9,4.2,3.1,4.1,0.57
CUVALLES,Koelreuteria elegans,C14-5-285,1.04,11.5,3.4,2.2,2.6,0.52
CUVALLES,Salix bonplandiana,C14-5-286,0.85,10.4,4.1,3.4,6.1,0.39
CUVALLES,Prosopis laevigata,C14-5-287,3.52,21.2,6.3,4.9,7.9,0.69
CUVALLES,Koelreuteria elegans,C14-5-288,0.53,8.2,3,1.6,2.8,0.66
CUVALLES,Salix bonplandiana,C14-5-289,4.83,24.8,9.9,8.4,8.4,0.34
CUVALLES,Koelreuteria elegans,C14-5-290,0.82,10.2,2.9,1.5,3.2,0.47
CUVALLES,Salix bonplandiana,C14-5-291,0.69,9.4,4.1,2.7,4.4,0.61
CUVALLES,Koelreuteria elegans,C14-5-292,0.28,6,3.2,1.9,3.6,0.5
CUVALLES,Prosopis laevigata,C14-5-293,4.41,23.7,9.4,8.1,8.2,0.71
CUVALLES,Salix bonplandiana,C14-5-294,3.05,19.7,8.2,6.1,6.6,0.53
CUVALLES,Koelreuteria elegans,C14-5-295,0.77,9.9,3.4,2.5,3,0.64
CUVALLES,Prosopis laevigata,C14-5-296,3.33,20.6,6.4,4.5,7.4,0.61
CUVALLES,Salix humboldtiana,C14-5-297,2.99,19.5,9.7,8.2,9.1,0.48
CUVALLES,Koelreuteria elegans,C14-5-298,1.34,13,3.2,1.7,3.5,0.4
CUVALLES,Koelreuteria elegans,C14-5-299,0.52,8.1,2.7,1.4,2.7,0.27
CUVALLES,Salix bonplandiana,C14-5-300,1.21,12.4,5,4.2,4.1,0.3
CUVALLES,Koelreuteria elegans,C14-5-301,0.45,7.6,2.6,1.2,2.5,0.86
CUVALLES,Salix bonplandiana,C14-5-302,1.77,15,4.4,3.2,3.9,0.43
CUVALLES,Salix bonplandiana,C14-5-303,3.7,21.7,6,4.6,7.4,0.59
CUVALLES,Koelreuteria elegans,C14-5-304,0.53,8.2,3.4,2.4,3.4,0.33
CUVALLES,Koelreuteria elegans,C14-5-305,3.45,21,4.1,3.3,3.7,0.63
CUVALLES,Prosopis laevigata,C14-5-306,4.87,24.9,6.6,5.3,8,0.37
CUVALLES,Koelreuteria elegans,C14-5-307,1.41,13.4,4.1,3.1,3.8,0.71
CUVALLES,Prosopis laevigata,C14-5-308,2.09,16.3,5.9,4.2,6.6,0.57
CUVALLES,Koelreuteria elegans,C14-5-309,1.77,15,4.5,3.5,4.2,0.37
CUVALLES,Washingtonia filifera,C14-5-310,11.4,38.1,3,1.8,3.4,0.33
CUVALLES,Koelreuteria elegans,C14-5-311,2.6,18.2,4,2.8,4.4,0.63
CUVALLES,Salix bonplandiana,C14-5-312,5.47,26.4,6.6,5.4,8.6,0.49
CUVALLES,Koelreuteria elegans,C14-5-313,1.04,11.5,2.8,2.1,3.8,0.32
CUVALLES,Pithecellobium dulce,C14-5-314,2.72,18.6,7.5,6.2,8.2,0.47
CUVALLES,Pithecellobium dulce,C14-5-315,3.33,20.6,7,5.5,9.3,0.32
CUVALLES,Salix humboldtiana,C14-5-316,0.22,5.3,3.5,3.5,3.3,0.52
CUVALLES,Arecastrum romanzoffianum,C14-5-317,6.07,27.8,3.8,2.4,5.5,0.26
CUVALLES,Arecastrum romanzoffianum,C14-5-318,6.88,29.6,5.7,4.1,5.4,0.37
CUVALLES,Arecastrum romanzoffianum,C14-5-319,3.98,22.5,5,3.4,5.2,0.61
CUVALLES,Pithecellobium dulce,C14-5-320,0.55,8.4,4.4,2.8,5.1,0.33
CUVALLES,Prosopis laevigata,C14-5-321,1.49,13.8,3.4,2.1,6.2,0.18
CUVALLES,Leucaena leucocephala,C14-5-322,0.38,7,3.3,2.3,5.1,0.61
CUVALLES,Pithecellobium dulce,C14-5-323,1.08,11.7,4.7,3.4,6.8,0.29
CUVALLES,Salix bonplandiana,C14-5-324,1.06,11.6,4.9,3.6,3.8,0.52
CUVALLES,Salix bonplandiana,C14-5-325,0.24,5.5,3.6,2.3,2.7,0.45
CUVALLES,Salix bonplandiana,C14-5-326,2.87,19.1,7.2,5.9,6.2,0.39
CUVALLES,Ficus benjamina,C14-5-327,12.57,40,5.5,3.7,7.7,0.22
CUVALLES,Ficus benjamina,C14-5-328,5.03,25.3,4.9,3.5,4.5,0.36
CUVALLES,Ficus benjamina,C14-5-329,1.83,15.3,4.1,2.5,3.3,0.24
CUVALLES,Ficus benjamina,C14-5-330,6.39,28.5,6.1,4.3,6.6,0.41
CUVALLES,Ficus benjamina,C14-5-331,3.9,22.3,6.4,4.4,5,0.28
CUVALLES,Ficus benjamina,C14-5-332,8.12,32.1,7.1,5,6.6,0.62
CUVALLES,Callistemon aff. salignus,C14-5-333,0.37,6.9,4.3,3.3,2.6,0.57
CUVALLES,Salix humboldtiana,C14-5-334,3.37,20.7,8.8,8.4,7.6,0.54
CUVALLES,Salix bonplandiana,C14-5-335,0.63,8.9,5.3,4.3,5.1,0.27
CUVALLES,Salix bonplandiana,C14-5-336,12.77,40.3,9.1,8.2,10.5,0.42
CUVALLES,Salix bonplandiana,C14-5-337,0.2,5.1,4,3.1,3.6,0.32
CUVALLES,Callistemon aff. salignus,C14-5-338,0.92,10.8,3.8,2.3,3,0.35
CUVALLES,Salix humboldtiana,C14-5-339,1.08,11.7,5,4.4,5,0.46
CUVALLES,Salix humboldtiana,C14-5-340,3.88,22.2,6,5.3,9,0.62
CUVALLES,Salix bonplandiana,C14-5-341,1.04,11.5,4.9,3.2,4.5,0.29
CUVALLES,Tabebuia rosea,C14-5-342,0.2,5,3,1.3,2.4,0
CUVALLES,Fraxinus uhdei ,C14-5-343,0.31,6.3,4.8,4.3,2.3,0.4
CUVALLES,Salix humboldtiana,C14-5-344,1.58,14.2,4.6,3.6,7.1,0.23
CUVALLES,Salix humboldtiana,C14-5-345,0.42,7.3,5.2,4.8,5,0.34
CUVALLES,Fraxinus uhdei ,C14-5-346,0.3,6.2,4.3,2.7,2.5,0.58
CUVALLES,Salix bonplandiana,C14-5-347,0.26,5.8,3.4,3.1,3.3,0.34
CUVALLES,Pithecellobium dulce,C14-5-348,4.48,23.9,5.2,4.5,8.8,0.47
CUVALLES,Salix humboldtiana,C14-5-349,0.21,5.2,3.2,2.7,3.7,0.44
CUVALLES,Salix humboldtiana,C14-5-350,0.77,9.9,3.5,3,4.8,0.34
CUVALLES,Salix humboldtiana,C14-5-351,0.5,8,3.8,3.5,4.1,0.22
CUVALLES,Ficus benjamina,C14-5-352,1.92,15.6,4.9,4.1,3.6,0.6
CUVALLES,Ficus microcarpa,C14-5-353,0.97,11.1,3.6,2.5,2.6,0.46
CUVALLES,Ficus benjamina,C14-5-354,13.67,41.7,8.5,7.1,8,0.34
CUVALLES,Ficus benjamina,C14-5-355,2.05,16.2,5.7,4.1,3.7,0.63
CUVALLES,Ficus benjamina,C14-5-356,4.79,24.7,6.8,5.3,8.4,0.42
CUVALLES,Ficus benjamina,C14-5-357,10.66,36.8,6.7,5.3,8.7,0.43
CUVALLES,Salix humboldtiana,C14-5-358,0.33,6.5,3.3,2.2,3.4,0.24
CUVALLES,Salix humboldtiana,C14-5-359,1.04,11.5,4.1,2.9,4.8,0.53
CUVALLES,Cupressus sempervirens,C14-5-360,2.03,16.1,8.1,8,1.1,0.55
CUVALLES,Cupressus sempervirens,C14-5-361,0.71,9.5,6.6,6.5,0.9,0
CUVALLES,Salix bonplandiana,C14-5-362,0.83,10.3,5.1,3.5,4.2,0.22
CUVALLES,Tabebuia rosea,C14-5-363,0.64,9,3.6,1.8,3.4,0.24
CUVALLES,Ficus benjamina,C14-5-364,6.03,27.7,6,4.5,7.3,0.23
CUVALLES,Ficus benjamina,C14-5-365,5.71,27,7,5.4,6.1,0.39
CUVALLES,Ficus benjamina,C14-5-366,5.76,27.1,5.3,3.7,5.6,0.41
CUVALLES,Salix humboldtiana,C14-5-367,0.62,8.9,6.1,4.7,4.3,0.21
CUVALLES,Salix humboldtiana,C14-5-368,1.26,12.6,7.9,6.3,4.8,0.28
CUVALLES,Salix humboldtiana,C14-5-369,1.45,13.6,10,8.3,5.3,0.37
CUVALLES,Salix humboldtiana,C14-5-370,0.59,8.7,6.4,5.2,4.1,0.54
CUVALLES,Salix bonplandiana,C14-5-371,0.29,6.1,4.7,3.5,3.8,0.32
CUVALLES,Salix humboldtiana,C14-5-372,0.28,6,4.6,3.2,3.7,0.75
CUVALLES,Salix humboldtiana,C14-5-373,0.23,5.4,5.3,3.9,4.2,0.5
CUVALLES,Salix bonplandiana,C14-5-374,0.69,9.4,4.7,3.4,4,0.57
CUVALLES,Salix bonplandiana,C14-5-375,1.53,13.9,5.3,4.1,5.8,0.18
CUVALLES,Salix humboldtiana,C14-5-376,0.88,10.6,5.7,4.6,4.3,0.46
CUVALLES,Salix bonplandiana,C14-5-377,0.72,9.6,6.2,4.8,4.7,0.47
CUVALLES,Salix humboldtiana,C14-5-378,1.31,12.9,5.7,4.8,5,0.6
CUVALLES,Ravenala madagascariensis,C14-5-379,5.47,26.4,5,3.8,3.8,0.96
CUVALLES,Salix humboldtiana,C14-5-380,1.04,11.5,6.4,5.8,4.5,0.36
CUVALLES,Salix humboldtiana,C14-5-381,1.08,11.7,6.8,5.9,5.5,0.5
CUVALLES,Ravenala madagascariensis,C14-5-382,3.02,19.6,5.2,3.9,4.3,0.97
CUVALLES,Ravenala madagascariensis,C14-5-383,3.4,20.8,5.3,4,4.1,0.97
CUVALLES,Salix humboldtiana,C14-5-384,0.53,8.2,5,3.9,3.8,0.32
CUVALLES,Salix humboldtiana,C14-5-385,2.41,17.5,5.6,4.1,5.4,0.51
CUVALLES,Salix humboldtiana,C14-5-386,0.79,10,4.8,3.9,5.3,0.54
CUVALLES,Dypsis lutescens,C14-5-387,0.69,9.4,2.3,1.9,3.5,0.33
CUVALLES,Salix humboldtiana,C14-5-388,2.72,18.6,5.7,4.1,6.6,0.55
CUVALLES,Dypsis lutescens,C14-5-389,2.51,17.9,2.8,2.2,3.5,0.77
CUVALLES,Dypsis lutescens,C14-5-390,0.59,8.7,2.3,2.3,3.1,0.35
CUVALLES,Dypsis lutescens,C14-5-391,0.65,9.1,2.2,1.5,3.2,0.42
CUVALLES,Salix bonplandiana,C14-5-392,1.08,11.7,5,3.5,5.7,0.19
CUVALLES,Salix bonplandiana,C14-5-393,0.2,5.1,3.6,2.2,3.1,0.74
CUVALLES,Ficus benjamina,C14-5-394,4.74,24.6,6.7,5.7,6,0.51
CUVALLES,Salix bonplandiana,C14-5-395,4.12,22.9,6.4,5.2,7.2,0.28
CUVALLES,Salix bonplandiana,C14-5-396,1.75,14.9,4.6,3.4,5.3,0.27
CUVALLES,Salix bonplandiana,C14-5-397,4.29,23.4,7.1,5.5,6.5,0.38
CUVALLES,Bucida buceras,C14-5-398,0.55,8.4,4,2.9,4.5,0.4
CUVALLES,Bucida buceras,C14-5-399,0.38,7,3.9,2.9,3.3,0.72
CUVALLES,Salix bonplandiana,C14-5-400,2.02,16,4.9,3.3,4.7,0.4
CUVALLES,Salix bonplandiana,C14-5-401,3.74,21.8,5.6,4.2,6,0
CUVALLES,Salix bonplandiana,C14-5-402,2.7,18.5,6,4.7,6.8,0.64
CUVALLES,Jacaranda mimosifolia,C14-5-403,4.05,22.7,5.1,3.7,6.3,0.77
CUVALLES,Salix humboldtiana,C14-5-404,1.15,12.1,6,4.9,5.3,0.6
CUVALLES,Bucida buceras,C14-5-405,0.82,10.2,4.2,3.1,5.5,0.37
CUVALLES,Salix humboldtiana,C14-5-406,0.67,9.2,4.9,3.8,5,0.38
CUVALLES,Jacaranda mimosifolia,C14-5-407,0.54,8.3,4.2,2.7,3.8,0
CUVALLES,Bucida buceras,C14-5-408,0.83,10.3,4.9,3.4,5,0.71
CUVALLES,Salix bonplandiana,C14-5-409,0.88,10.6,4,2.7,4.3,0.46
CUVALLES,Salix bonplandiana,C14-5-410,0.32,6.4,4.1,2.9,2.4,0.29
CUVALLES,Salix bonplandiana,C14-5-411,0.3,6.2,3,2.5,3,0.48
CUVALLES,Ceiba speciosa ,C14-5-412,0.31,6.3,3.7,1.3,1.6,0.78
CUVALLES,Salix bonplandiana,C14-5-413,0.31,6.3,4.3,3.1,3.8,0
CUVALLES,Hibiscus tiliaceus,C14-5-414,2.49,17.8,5.2,4,6.8,0.17
CUVALLES,Salix bonplandiana,C14-5-415,2.17,16.6,5,3.8,5.9,0.43
CUVALLES,Hibiscus tiliaceus,C14-5-416,1.6,14.3,5.3,4,5,0.64
CUVALLES,Salix humboldtiana,C14-5-417,3.02,19.6,9.1,8.4,7.9,0.38
CUVALLES,Salix bonplandiana,C14-5-418,2.01,16,6.8,5.4,5.9,0.46
CUVALLES,Salix bonplandiana,C14-5-419,2.27,17,5.9,4.5,6.6,0.49
CUVALLES,Salix bonplandiana,C14-5-420,2.49,17.8,7.5,6.1,5.9,0.46
CUVALLES,Salix humboldtiana,C14-5-421,3.14,20,7.7,6.5,8.2,0.16
CUVALLES,Salix bonplandiana,C14-5-422,1.95,15.8,5.5,4.1,5.4,0.33
CUVALLES,Jacaranda mimosifolia,C14-5-423,3.61,21.4,4.6,3.7,9.3,0.48
CUVALLES,Spathodea campanulata,C14-5-424,0.58,8.6,4,2.7,3.8,0.79
CUVALLES,Salix bonplandiana,C14-5-425,6.97,29.8,6.9,6.2,9.5,0.49
CUVALLES,Salix humboldtiana,C14-5-426,0.53,8.2,4.8,4.3,4.8,0.34
CUVALLES,Salix humboldtiana,C14-5-427,0.64,9,5,4,4.8,0.51
CUVALLES,Salix bonplandiana,C14-5-428,3.94,22.4,9.5,8.2,7.6,0.56
CUVALLES,Pinus douglasiana,C14-5-429,0.66,9.2,5.4,4.2,3.4,0.46
CUVALLES,Salix bonplandiana,C14-5-430,1.11,11.9,8.5,5.5,4.7,0.29
CUVALLES,Ficus benjamina,C14-5-431,5.11,25.5,6.8,5.7,5.2,0.45
CUVALLES,Ficus crocata,C14-5-432,0.75,9.8,4.4,3.1,3.2,0.56
CUVALLES,Salix humboldtiana,C14-5-433,0.64,9,4.2,2.7,3.8,0.44
CUVALLES,Fraxinus uhdei ,C14-5-434,2.56,18.1,5.9,4.4,4.1,0.37
CUVALLES,Salix humboldtiana,C14-5-435,0.66,9.2,4.9,3.2,3.5,0.24
CUVALLES,Salix bonplandiana,C14-5-436,0.4,7.1,6.2,4.7,3.9,0.31
CUVALLES,Salix bonplandiana,C14-5-437,0.92,10.8,4.8,3.4,4.3,0.46
CUVALLES,Salix humboldtiana,C14-5-438,4.79,24.7,6.9,5.5,8.6,0.41
CUVALLES,Psidium guajava,C14-5-439,0.85,10.4,3.7,2.6,3.5,0.24
CUVALLES,Cascabela thevetioides,C14-5-440,1.25,12.6,4.3,3.7,5.4,0.64
CUVALLES,Salix humboldtiana,C14-5-441,2,16,4.7,3.5,5.2,0.52
CUVALLES,Salix humboldtiana,C14-5-442,0.23,5.4,4.7,3.3,1.8,0.54
CUVALLES,Salix humboldtiana,C14-5-443,1.47,13.7,6.8,5.4,5.5,0.26
CUVALLES,Ficus benjamina,C14-5-444,0.3,6.2,3.6,2.4,1.9,0.53
CUVALLES,Salix humboldtiana,C14-5-445,0.41,7.2,3.9,2.5,3.3,0.59
CUVALLES,Salix bonplandiana,C14-5-446,1.56,14.1,5.5,4.5,6.8,0.29
CUVALLES,Salix humboldtiana,C14-5-447,2.13,16.5,5.7,4.3,6.6,0.3
CUVALLES,Ficus benjamina,C14-5-448,7.33,30.6,6.3,4.5,6.5,0.49
CUVALLES,Cupressus sempervirens,C14-5-449,0.64,9,7.1,7,0.9,0.46
CUVALLES,Ficus benjamina,C14-5-450,2.31,17.1,6,4.3,4.5,0.48
CUVALLES,Salix humboldtiana,C14-5-451,1.31,12.9,7.6,6.7,5.9,0.63
CUVALLES,Cupressus sempervirens,C14-5-452,0.5,8,6.8,6.8,1,0.44
CUVALLES,Cupressus sempervirens,C14-5-453,0.87,10.5,5.1,5,1.1,0
CUVALLES,Cupressus sempervirens,C14-5-454,0.88,10.6,7.7,7.6,1.5,0.36
CUVALLES,Salix bonplandiana,C14-5-455,1.84,15.3,4,3.5,5.6,0.36
CUVALLES,Casimiroa edulis,C14-5-456,0.37,6.9,2.6,1.6,3.7,0.44
CUVALLES,Casimiroa edulis,C14-5-457,0.38,7,3.4,1.5,3.6,0.5
CUVALLES,Nerium oleander,C14-5-458,0.88,10.6,3.9,2.9,4.8,0.2
CUVALLES,Casimiroa edulis,C14-5-459,0.49,7.9,4.1,2.5,4.2,0.62
CUVALLES,Casimiroa edulis,C14-5-460,0.62,8.9,3.6,2.3,4.6,0.66
CUVALLES,Fraxinus uhdei ,C14-5-461,0.2,5,2.6,2.4,1.9,0.59
CUVALLES,Prosopis laevigata,C14-5-462,4.18,23.1,7.1,5.6,8.5,0.56
CUVALLES,Pithecellobium dulce,C14-5-463,1.58,14.2,7.1,5.7,7.5,0.28
CUVALLES,Pithecellobium dulce,C14-5-464,0.21,5.2,3,2.5,3.8,0.64
CUVALLES,Pithecellobium dulce,C14-5-465,2,16,7.8,6.4,7.4,0
CUVALLES,Pithecellobium dulce,C14-5-466,4.33,23.5,7,5.6,8,0.62
CUVALLES,Fraxinus uhdei ,C14-5-467,0.25,5.6,3.7,2.4,2.3,0.77
CUVALLES,Fraxinus uhdei ,C14-5-468,0.41,7.2,4.7,2.1,1.8,0.45
CUVALLES,Pithecellobium dulce,C14-5-469,2.9,19.2,7,5.5,7.8,0.35
CUVALLES,Pithecellobium dulce,C14-5-470,3.43,20.9,8.5,6.8,8.9,0.82
CUVALLES,Pithecellobium dulce,C14-5-471,1.21,12.4,4.6,3.6,6.5,0.79
CUVALLES,Pithecellobium dulce,C14-5-472,2.01,16,6.2,5.3,6.9,0.63
CUVALLES,Pithecellobium dulce,C14-5-473,3,19.5,6,4.8,7.9,0.59
CUVALLES,Salix humboldtiana,C14-5-474,2.26,17,6.2,5.9,7.9,0.49
CUVALLES,Prosopis laevigata,C14-5-475,0.22,5.3,3.3,2.4,3.7,0.57
CUVALLES,Cupressus macrocarpa,C14-5-476,0.4,7.1,4.4,4.1,1.8,0.6
CUVALLES,Nerium oleander,C14-5-477,0.21,5.2,3.4,2.7,4.1,0.3
CUVALLES,Cupressus macrocarpa,C14-5-478,0.44,7.5,4.1,3.8,1.7,0.34
CUVALLES,Ficus microcarpa,C14-5-479,1.18,12.3,4,2.6,3,0.48
CUVALLES,Ficus microcarpa,C14-5-480,0.79,10,3.6,2.3,2.3,0.48
CUVALLES,Ficus benjamina,C14-5-481,0.72,9.6,4.6,3.3,2.3,0.48
CUVALLES,Salix bonplandiana,C14-5-482,8.66,33.2,8.1,6.3,9.9,0.39
CUVALLES,Salix bonplandiana,C14-5-483,0.22,5.3,3.4,2.1,3.5,0.5
CUVALLES,Cupressus sempervirens,C14-5-484,1.29,12.8,8.7,8.2,1.2,0.53
CUVALLES,Pinus devoniana,C14-5-485,0.85,10.4,3.6,2.2,2.4,0.59
CUVALLES,Eriobotrya japonica,C14-5-486,0.28,6,3.6,2.5,3.4,0.59
CUVALLES,Salix bonplandiana,C14-5-487,2.78,18.8,5.7,4.4,6.9,0.43
CUVALLES,Cupressus sempervirens,C14-5-488,1.81,15.2,9.8,9.8,1.2,0
CUVALLES,Salix humboldtiana,C14-5-489,3.99,22.5,9.5,7.8,9.1,0.44
CUVALLES,Salix bonplandiana,C14-5-490,0.71,9.5,5.5,4.2,3.5,0.58
CUVALLES,Salix humboldtiana,C14-5-491,0.79,10,5.1,3.8,5,0.2
CUVALLES,Salix humboldtiana,C14-5-492,0.5,8,3.9,2.7,4.5,0.36
CUVALLES,Salix bonplandiana,C14-5-493,4.71,24.5,7.3,6.2,6.2,0.59
CUVALLES,Salix humboldtiana,C14-5-494,0.47,7.7,4.5,3.1,4.4,0.36
CUVALLES,Ficus benjamina,C14-5-495,2.99,19.5,5.1,4.4,5.2,0.42
CUVALLES,Salix bonplandiana,C14-5-496,6.16,28,7.5,6.9,8.4,0.44
CUVALLES,Leucaena leucocephala,C14-5-497,0.2,5,3,1.6,3.7,0.49
CUVALLES,Salix humboldtiana,C14-5-498,1.65,14.5,9.2,8,5.9,0.68
CUVALLES,Ficus benjamina,C14-5-499,0.62,8.9,3.7,2.4,2.7,0.6
CUVALLES,Ficus benjamina,C14-5-500,0.8,10.1,3.5,2.2,2.7,0.64
CUVALLES,Salix humboldtiana,C14-5-501,1.91,15.6,7.2,5.8,7.4,0.47
CUVALLES,Salix humboldtiana,C14-5-502,0.72,9.6,4,2.8,4,0.22
CUVALLES,Salix humboldtiana,C14-5-503,2.18,16.6,6.5,4.8,5.7,0.44
CUVALLES,Salix humboldtiana,C14-5-504,0.32,6.4,3.6,2.8,3.3,0.24
CUVALLES,Salix humboldtiana,C14-5-505,1.23,12.5,6.1,4.3,4.2,0.42
CUVALLES,Salix bonplandiana,C14-5-506,0.55,8.4,3.8,2.6,3.8,0.38
CUVALLES,Salix humboldtiana,C14-5-507,0.82,10.2,3.9,2.5,4.3,0.21
CUVALLES,Salix humboldtiana,C14-5-508,1.52,13.9,7.8,6,5.3,0.19
CUVALLES,Salix humboldtiana,C14-5-509,0.53,8.2,4,2.6,4.3,0.56
CUVALLES,Salix bonplandiana,C14-5-510,0.57,8.5,4.3,2.9,4.1,0.22
CUVALLES,Salix bonplandiana,C14-5-511,0.32,6.4,3.2,2.2,3.3,0.7
CUVALLES,Salix humboldtiana,C14-5-512,0.72,9.6,4.9,4,4.9,0.28
CUVALLES,Jacaranda mimosifolia,C14-5-513,3.56,21.3,4.2,2.7,7.1,0.39
CUVALLES,Salix humboldtiana,C14-5-514,1.04,11.5,7.3,5.8,5,0.43
CUVALLES,Salix bonplandiana,C14-5-515,6.33,28.4,8.6,6.8,7.2,0.28
CUVALLES,Salix humboldtiana,C14-5-516,0.99,11.2,5.7,4.3,5.2,0.27
CUVALLES,Jacaranda mimosifolia,C14-5-517,3.37,20.7,4.4,2.8,8.4,0.3
